Lemma,ID,Eng Gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Example Sentence,Translation,Reference,Topic(s),,,
доллар,6564,dollar,N.Masc.Inan,B2,"Golosa, LM",2,доллара,Gen.Sing,Сейчас курс доллара к рублю составляет примерно 65 рублей.,Right now the US to rouble rate is approximately 65.,_,"магазин, мера",,,
доллар,6565,dollar,N.Masc.Inan,B2,"Golosa, LM",3,долл,Gen.Plur,,,_,"магазин, мера",,,
доминиканец,6566,Dominican,N.Masc.Anim,B2,LM,1,доминиканца,Gen.Sing,Вошел незнакомый монах в коричневой рясе доминиканца.,An unknown monk in brown Dominican robe came in.,_,"люди, учёба/работа",,,
домофон,6567,intercom,N.Masc.Inan,B2,LM,1,домофона,Gen.Sing,"Кажется, я забыл ключ от домофона.",It seems that I forgot the intercom key code.,_,жильё,,,
домработница,6568,housemaid,N.Fem.Anim,B2,LM,1,домработница,Nom.Sing,"Домработница сказала, что хозяин дома уехал в Москву.",The housemaid said that the master of house had gone to Moscow.,_,"жильё, люди, учёба/работа",,,
домработница,6569,housemaid,N.Fem.Anim,B2,LM,2,домработнице,Dat.Sing,Не забудь позвонить нашей домработнице.,Don't forget to call our housemaid.,_,"жильё, люди, учёба/работа",,,
домработница,6570,housemaid,N.Fem.Anim,B2,LM,3,домработницы,Gen.Sing,У нас никогда не было домработницы.,We never had a housemaid.,_,"жильё, люди, учёба/работа",,,
драться,6571,fight,V,B2,LM,1,драться,Imperf.Inf,"Лучше договориться с человеком, чем драться с ним.",It's better to make an agreement with a person than to fight with him.,_,общение,,,
драться,6572,fight,V,B2,LM,2,дрались,Imperf.Plur.Past,В детстве мы с Сашей часто дрались.,Sasha and I often fought when we were children.,_,общение,,,
драться,6573,fight,V,B2,LM,3,дрался,Imperf.Masc.Sing.Past,Однажды я дрался со старшим братом и даже смог его победить!,Once I fought with my older brother and even managed to beat him!,_,общение,,,
дополнительный,6574,additional,A,B2,LM,1,дополнительных,Gen.Plur,У Пети очень много дополнительных занятий после школы.,Petya has a lot of extra classes after school.,_,"описание, мера",,,
дополнительный,6575,additional,A,B2,LM,2,дополнительные,Inan.Acc.Plur,Вместе с картой банка клиенту предоставляют дополнительные возможности кредитования.,The customer is provided with a bank card and additional lending opportunities.,_,"описание, мера",,,
дополнительный,6576,additional,A,B2,LM,3,дополнительный,Inan.Acc.Masc.Sing,Нехватка времени даёт мне дополнительный стимул при достижении цели.,Lack of free time is an additional motivation for me to achieve the goal.,_,"описание, мера",,,
дрожать,6577,shiver,V,B2,LM,1,дрожат,Imperf.Plur.3,"У меня дрожат коленки перед выступлением, я очень волнуюсь!","My knees are shaking before appearing in front of the audience, I'm really nervous.",_,"внутренний мир, здоровье",,,
дрожать,6578,shiver,V,B2,LM,2,дрожал,Imperf.Masc.Sing.Past,На репетиции у Маши дрожал голос.,It was a tremor in Masha's voice at the rehearsal.,_,"внутренний мир, здоровье",,,
дрожать,6579,shiver,V,B2,LM,3,дрожит,Imperf.Sing.3,"Кажется, что от топота лошадей дрожит земля.",It seems that the stamping of the horses is making the ground shake.,_,"внутренний мир, здоровье",,,
жалеть,6580,pity,V,B2,LM,1,жалеть,Imperf.Inf,"Я считаю, что не надо жалеть денег на путешествия.",I think that one should spare no expenses for travel.,_,"внутренний мир, общение",,,
жалеть,6581,pity,V,B2,LM,2,жалею,Imperf.Sing.1,Я не жалею о своём поступке.,I don't regret my action.,_,"внутренний мир, общение",,,
жалеть,6582,pity,V,B2,LM,3,жалела,Imperf.Fem.Sing.Past,Ты когда-нибудь жалела о принятом решении?,Have you ever regretted a decision that you made?,_,"внутренний мир, общение",,,
досрочный,6583,preschedule,A,B2,LM,1,досрочного,Gen.Masc.Sing,Длительность досрочного отпуска не зависит от отработанного сотрудником времени.,The duration of advance leave doesn't depend on the time worked.,_,"время, описание",,,
жаловаться,6584,complain,V,B2,"Golosa, LM",1,жалуется,Imperf.Sing.3,"Катя всё время жалуется на жизнь, меня это раздражает.","Katya is always grumbling about her life, it's really annoying!",_,общение,,,
жаловаться,6585,complain,V,B2,"Golosa, LM",2,жаловаться,Imperf.Inf,Вряд ли стоит жаловаться на судьбу.,One shouldn't complain about one's fate.,_,общение,,,
жаловаться,6586,complain,V,B2,"Golosa, LM",3,жаловалась,Imperf.Fem.Sing.Past,"Лена часто жаловалась на усталость, когда работала далеко от дома.",Lena ofren complained that she was tired when she was working far away from home.,_,общение,,,
достоинство,6587,dignity,N.Neut.Inan,B2,LM,1,достоинством,Ins.Sing,"""Благодарю"", — с достоинством ответил Николай.","""Thank you"", replied Nikolay with dignity.",_,"внутренний мир, описание",,,
достоинство,6588,dignity,N.Neut.Inan,B2,LM,2,достоинство,Nom.Sing,Основное достоинство данного подхода ― простота.,The main advantage of this approach is its simplicity.,_,"внутренний мир, описание",,,
достоинство,6589,dignity,N.Neut.Inan,B2,LM,3,достоинства,Nom.Plur,Все достоинства этой квартиры меркнут перед одним недостатком: она находится очень далеко от метро.,All the advantages of this apartment fade before its one drawback: it is located very far from the metro station.,_,"внутренний мир, описание",,,
достойный,6590,worthy,A,B2,LM,1,достоин,Masc.Sing,Любой труд достоин уважения.,Every effort is worthy of respect.,_,"внутренний мир, описание",,,
достойный,6591,worthy,A,B2,LM,2,достойная,Nom.Fem.Sing,Разве это достойная жизнь?,Is this a life worth living?,_,"внутренний мир, описание",,,
достойный,6592,worthy,A,B2,LM,3,достойных,Gen.Plur,На конкурсе было представлено множество достойных кандидатов.,A lot of worthy candidates were present at the competition.,_,"внутренний мир, описание",,,
достопримечательность,6593,place of interest,N.Fem.Inan,B2,"Golosa, LM",1,достопримечательностями,Ins.Plur,После обеда мы с Машей пошли знакомиться с местными достопримечательностями.,After lunch Masha and I went to see the local sights.,_,путешествие,,,
достопримечательность,6594,place of interest,N.Fem.Inan,B2,"Golosa, LM",2,достопримечательностью,Ins.Sing,Тадж-Махал считается главной туристической достопримечательностью Индии.,The Taj Mahal is considered to be the main tourist attraction in India.,_,путешествие,,,
достопримечательность,6595,place of interest,N.Fem.Inan,B2,"Golosa, LM",3,достопримечательность,Nom.Sing,Главная достопримечательность Москвы — Красная площадь.,The main tourist attraction in Moscow is Red Square.,_,путешествие,,,
досуг,6596,leisure,N.Masc.Inan,B2,LM,1,досуга,Gen.Sing,В часы досуга моя бабушка любила шить.,My grandma loved to sew in her spare time.,_,свободное время,,,
досуг,6597,leisure,N.Masc.Inan,B2,LM,2,досуге,Loc.Sing,Чем ты занимаешься на досуге?,What do you do in your spare time?,_,свободное время,,,
досуг,6598,leisure,N.Masc.Inan,B2,LM,3,досугом,Ins.Sing,В последнее время у меня с досугом плоховато: очень устаю после работы.,"I'm not getting enough free time lately, I'm very tired after work.",_,свободное время,,,
доход,6599,revenue,N.Masc.Inan,B2,LM,1,доходов,Gen.Plur,Уровень доходов становится более неравномерным.,Income inequality is increasing.,_,"политика, учёба/работа, мера",,,
доход,6600,revenue,N.Masc.Inan,B2,LM,2,доходы,Nom.Plur,Доходы населения не растут из-за кредитов.,Incomes aren't growing because of credit payments.,_,"политика, учёба/работа, мера",,,
доход,6601,revenue,N.Masc.Inan,B2,LM,3,дохода,Gen.Sing,"Маша сдаёт квартиру в Москве, это её постоянный источник дохода.","Masha rents out an apartment in Moscow, that's a steady source of income for her.",_,"политика, учёба/работа, мера",,,
драгоценный,6602,precious,A,B2,LM,1,драгоценные,Inan.Acc.Plur,Алла любит золотые украшения и драгоценные камни.,Alla loves gold jewelry and gemstones.,_,"описание, мера, магазин",,,
драгоценный,6603,precious,A,B2,LM,2,драгоценного,Gen.Neut.Sing,Это кольцо сделано из драгоценного металла?,Is this ring made of precious metal?,_,"описание, мера, магазин",,,
драгоценный,6604,precious,A,B2,LM,3,драгоценная,Nom.Fem.Sing,Время — это самая драгоценная вещь.,Time is the most precious thing.,_,"описание, мера, магазин",,,
драка,6605,fight,N.Fem.Inan,B2,LM,1,драка,Nom.Sing,Между Пашей и Сашей неожиданно началась драка.,A fight between Pasha and Sasha suddenly began.,_,общение,,,
драка,6606,fight,N.Fem.Inan,B2,LM,2,драки,Nom.Plur,Драки между мальчиками в школе вовсе не редки.,Fights between boys at school are certainly not rare.,_,общение,,,
драка,6607,fight,N.Fem.Inan,B2,LM,3,драку,Acc.Sing,На перемене ребята затеяли драку.,During recess the guys started a fight.,_,общение,,,
драматический,6608,dramatic,A,B2,LM,1,драматической,Gen.Fem.Sing,В ней проснулся талант драматической актрисы.,Her talent as a dramatic actress emerged.,_,"описание, свободное время",,,
драматический,6609,dramatic,A,B2,LM,2,драматический,Nom.Masc.Sing,Драматический театр как вид искусства возник в Древней Греции.,Drama theater as a form of art was created in ancient Greece.,_,"описание, свободное время",,,
драматический,6610,dramatic,A,B2,LM,3,драматические,Nom.Plur,Драматические роли в этом фильме были сыграны очень убедительно.,The dramatic roles in this film were very convincing.,_,"описание, свободное время",,,
желтеть,6611,yellow,V,B2,LM,1,желтели,Imperf.Plur.Past,В прошлом году осень наступила рано: в начале августа уже желтели листья.,Last year autumn came early. The leaves were already yellow in early August.,_,"животные/растения, погода",,,
желтеть,6612,flavescent,A,B2,LM,2,желтеющий,Imperf.PresentActiveParticiple.Nom.Masc.Sing,Желтеющий лист напомнил мне об осени.,A yellowing leaf reminded me of autumn.,_,"животные/растения, погода",,,
желтеть,6613,flavescent,A,B2,LM,3,желтеющей,Imperf.PresentActiveParticiple.Ins.Fem.Sing,Мне нравится любоваться желтеющей листвой.,I like to admire the yellowing fall foliage.,_,"животные/растения, погода",,,
жертвовать,6614,sacrifice,V,B2,LM,1,жертвовать,Imperf.Inf,Иногда ради карьеры приходится жертвовать другими интересами.,Sometimes one has to sacrifice other interests for one's career.,_,"внутренний мир, свободное время",,,
жертвовать,6615,sacrifice,V,B2,LM,2,жертвуют,Imperf.Plur.3,Герои всегда жертвуют собой ради других.,Heroes always sacrifice themselves for others.,_,"внутренний мир, свободное время",,,
дружественный,6616,friendly,A,B2,LM,1,дружественной,Ins.Fem.Sing,К концу девятнадцатого века отношения Германии с дружественной ей Англией постепенно ухудшались.,In the late 19th century the relationship between Germany and its one-time friend England gradually deteriorated.,_,"описание, общение",,,
дуб,6617,oak,N.Masc.Inan,B2,LM,1,дуба,Gen.Sing,Ваня остановился у векового дуба и сфотографировал его.,Vanya stopped by the ancient oak and too a photograph of it.,_,животные/растения,,,
дуб,6618,oak,N.Masc.Inan,B2,LM,2,дуб,Nom.Sing,Большой зелёный дуб был виден издалека.,A large green oak was visible from afar.,_,животные/растения,,,
дубленка,6619,sheepskin coat,N.Fem.Inan,B2,LM,1,дублёнке,Loc.Sing,"Я не очень люблю куртки, чаще хожу в дублёнке.",I don't really like jackets and prefer to wear a sheepskin coat.,_,одежда,,,
дубленка,6620,sheepskin coat,N.Fem.Inan,B2,LM,2,дублёнки,Gen.Sing,Недавно я нашёл тысячу рублей в кармане старой дублёнки.,Recently I found a thousand rubles in the pocket of my old sheepskin coat.,_,одежда,,,
дума,6621,assembly,N.Fem.Inan,B2,LM,1,думе,Loc.Sing,Отец Саши работает в Государственной думе.,Sasha's father works in the State Assembly.,_,политика,,,
дума,6622,assembly,N.Fem.Inan,B2,LM,2,думы,Gen.Sing,Алексей — кандидат в депутаты Государственной думы.,Alexey is a candidate running to be a deputy of the State Assembly.,_,политика,,,
дума,6623,assembly,N.Fem.Inan,B2,LM,3,думу,Acc.Sing,Недавно прошли выборы в Московскую областную думу.,Elections for the State Assembly were held recently.,_,политика,,,
духовный,6624,spiritual,A,B2,LM,1,духовной,Gen.Fem.Sing,Молитвы дают верующему человеку опыт духовной жизни.,Praying gives the believer an experience of spiritual life.,_,внутренний мир,,,
духовный,6625,spiritual,A,B2,LM,2,духовного,Gen.Neut.Sing,Нужно выработать принципы духовного воспитания молодёжи.,It is necessary to develop the principles of spiritual education for youth.,_,внутренний мир,,,
духовный,6626,spiritual,A,B2,LM,3,духовную,Acc.Fem.Sing,Индийцы внесли крупный вклад в духовную жизнь человечества.,The Hindu Indians have made a major contribution to the spiritual life of humankind.,_,внутренний мир,,,
дым,6627,smoke,N.Masc.Inan,B2,LM,1,дым,Nom.Sing,Из окна повалил дым.,Smoke began to pour out of the window.,_,"здоровье, погода",,,
дым,6628,smoke,N.Masc.Inan,B2,LM,2,дыма,Gen.Sing,Из-за дыма мне ничего не было видно.,I couldn't see anything because of the smoke.,_,"здоровье, погода",,,
дым,6629,smoke,N.Masc.Inan,B2,LM,3,дыму,Loc.Sing,Мужчины сидели на кухне в сигаретном дыму.,The men were sitting in the cigarette smoke in the kitchen.,_,"здоровье, погода",,,
дыня,6630,melon,N.Fem.Inan,B2,"LM, Поехали",1,дыню,Acc.Sing,Будешь есть дыню?,Do you want to eat a melon?,_,еда,,,
дыня,6631,melon,N.Fem.Inan,B2,"LM, Поехали",2,дыни,Nom.Plur,Самые вкусные дыни и арбузы поступают на рынок в августе.,The most delicious melons and watermelons come on the market in August.,_,еда,,,
дыра,6632,hole,N.Fem.Inan,B2,LM,1,дыр,Gen.Plur,Сегодня учёные уже могут делать фотографии чёрных дыр.,Nowadays scientists can take pictures of black holes. ,_,описание,,,
дыра,6633,hole,N.Fem.Inan,B2,LM,2,дыры,Gen.Sing,Десятого апреля 2019 года была сделана первая фотография чёрной дыры.,"On April 10, 2019 the first photo of a black hole was taken.",_,описание,,,
дыра,6634,hole,N.Fem.Inan,B2,LM,3,дырами,Ins.Plur,Это был очень старый дом с дырами в полу.,It was a very old house with holes in the floor.,_,описание,,,
дьявол,6635,devil,N.Masc.Anim,B2,LM,1,дьявола,Gen.Sing,Ад — это царство дьявола.,Hell is the kingdom of the devil.,_,внутренний мир,,,
дьявол,6636,devil,N.Masc.Anim,B2,LM,2,дьявол,Nom.Sing,В христианской вере дьявол толкает людей к соблазнам и гибели.,In the Christian religion the devil pushes people toward temptation and destruction.,_,внутренний мир,,,
дьявол,6637,devil,N.Masc.Anim,B2,LM,3,дьяволом,Ins.Sing,Снято много фильмов об одержимости людей дьяволом.,Many films have been made about demonic possession of people.,_,внутренний мир,,,
евангелие,6638,gospel,N.Neut.Inan,B2,LM,1,евангелия,Gen.Sing,Этот сюжет был взят из Евангелия.,This story was taken from the New Testament.,_,внутренний мир,,,
евангелие,6639,gospel,N.Neut.Inan,B2,LM,2,евангелие,Nom.Sing,Евангелие от Матфея повествует о жизни Иисуса Христа.,The Gospel according to Matthew tells us about Jesus Christ's life.,_,внутренний мир,,,
евангелие,6640,gospel,N.Neut.Inan,B2,LM,3,евангелиями,Ins.Plur,Неканоническими Евангелиями называют недостаточно достоверные по мнению церкви тексты.,The non-canonical Gospels are texts which are insufficiently credible according to the Church.,_,внутренний мир,,,
еврей,6641,jew,N.Masc.Anim,B2,"Golosa, LM",1,евреи,Nom.Plur,Евреи в основном живут в Израиле и США.,Jews mostly live in Israel and in the US.,_,"люди, путешествие, политика",,,
еврей,6642,jew,N.Masc.Anim,B2,"Golosa, LM",2,евреев,Gen.Plur,Большинство евреев гордятся своим происхождением.,Most Jews are proud of their origins.,_,"люди, путешествие, политика",,,
еврей,6643,jew,N.Masc.Anim,B2,"Golosa, LM",3,евреями,Ins.Plur,Многие известные литераторы были евреями.,Many famous writers were Jews.,_,"люди, путешествие, политика",,,
еврейка,6644,jewess,N.Fem.Anim,B2,LM,1,еврейка,Nom.Sing,Я еврейка по материнской линии.,I'm Jewish on my mother's side.,_,"люди, путешествие, политика",,,
европеец,6645,european,N.Masc.Anim,B2,LM,1,европейцев,Gen.Plur,Большинство европейцев обеспокоены изменением климата.,Most Europeans are concerned about climate change.,_,"люди, путешествие, политика",,,
европеец,6646,european,N.Masc.Anim,B2,LM,2,европейцем,Ins.Sing,"Недавно я познакомился с европейцем, который приехал учиться в Россию.",Recently I met a European who came to study in Russia.,_,"люди, путешествие, политика",,,
европеец,6647,european,N.Masc.Anim,B2,LM,3,европейцами,Ins.Plur,Можно ли назвать жителей России европейцами?,Can we call the Russian people Europeans?,_,"люди, путешествие, политика",,,
египтянин,6648,egyptian,N.Masc.Anim,B2,LM,1,египтянину,Dat.Sing,Эта кофейня принадлежит моему знакомому египтянину.,This coffee shop belongs to an Egyptian friend of mine.,_,"люди, путешествие, политика",,,
египтянин,6649,egyptian,N.Masc.Anim,B2,LM,2,египтянин,Nom.Sing,Меня позвал египтянин и заговорил по-английски.,An Egyptian called out to me and said something in English.,_,"люди, путешествие, политика",,,
египтянин,6650,egyptian,N.Masc.Anim,B2,LM,3,египтяне,Nom.Plur,Египтяне стали первыми совершать морские экспедиции.,The Egyptians were the first people to set out on sea expeditions.,_,"люди, путешествие, политика",,,
египтянка,6651,egyptian,N.Fem.Anim,B2,LM,1,египтянки,Nom.Plur,Египтянки изобрели особую косметику из натуральных ингредиентов.,Egyptian women invented special cosmetics made from natural ingredients.,_,"люди, путешествие, политика",,,
единичный,6652,isolated,A,B2,LM,1,единичными,Ins.Plur,Случаи нарушения запрета были единичными.,Cases of violation of the ban were isolated.,_,"описание, мера",,,
единичный,6653,isolated,A,B2,LM,2,единичные,Nom.Plur,"Это не единичные случаи, а тенденция.","These are not isolated cases, but a trend.",_,"описание, мера",,,
единичный,6654,isolated,A,B2,LM,3,единичного,Gen.Masc.Sing,Это выходит за пределы единичного случая.,This goes beyond the limits of an isolated incident.,_,"описание, мера",,,
единомышленник,6655,like-minded person,N.Masc.Anim,B2,LM,1,единомышленников,Gen.Plur,Я люблю отдыхать в компании единомышленников.,I like to relax in the company of like-minded people.,_,"внутренний мир, люди, общение",,,
единомышленник,6656,like-minded person,N.Masc.Anim,B2,LM,2,единомышленники,Nom.Plur,"Мы с ним единомышленники, у нас схожие взгляды на жизнь.",We're like-minded and have the same outlook on life.,_,"внутренний мир, люди, общение",,,
единомышленник,6657,like-minded person,N.Masc.Anim,B2,LM,3,единомышленником,Ins.Sing,Говорить с единомышленником очень интересно и приятно.,It's very interesting and pleasant for me to talk with a like-minded person.,_,"внутренний мир, люди, общение",,,
еж,6658,hedgedog,N.Masc.Anim,B2,LM,1,ёж,Nom.Sing,Вдруг на дороге появился ёж.,Suddenly a hedgedog appeared on the road.,_,животные/растения,,,
еж,6659,hedgedog,N.Masc.Anim,B2,LM,2,ежей,Gen.Plur,У морских ежей очень длинные иголки.,Sea urchins have very long spines.,_,животные/растения,,,
ежемесячный,6660,monthly,A,B2,LM,1,ежемесячная,Nom.Fem.Sing,Ежемесячная арендная плата выросла.,Rental costs per month have risen.,_,"время, мера",,,
ежемесячный,6661,monthly,A,B2,LM,2,ежемесячный,Nom.Masc.Sing,Ежемесячный платёж по кредиту составляет пять тысяч рублей.,The monthly loan payment is 5000 rubles.,_,"время, мера",,,
ежемесячный,6662,monthly,A,B2,LM,3,ежемесячного,Gen.Neut.Sing,Молодой семье полагается выплата ежемесячного пособия на ребёнка.,A young family will be paid monthly child support.,_,"время, мера",,,
еженедельный,6663,weekly,A,B2,LM,1,еженедельного,Gen.Masc.Sing,Подписчики иллюстрированного еженедельного журнала получали собрания сочинений русских и иностранных писателей.,Subscribers of the illustrated weekly magazine received the collected works of Russian and foreign writers.,_,"время, мера",,,
еженедельный,6664,weekly,A,B2,LM,2,еженедельный,Acc.Masc.Sing,Моя бабушка читает еженедельный журнал об астрологии.,My grandma reads a weekly magazine about astrology.,_,"время, мера",,,
еженедельный,6665,weekly,A,B2,LM,3,еженедельному,Dat.Masc.Sing,Исследование посвящено еженедельному анализу средств массовой информации.,The study focuses on weekly media analysis.,_,"время, мера",,,
ежик,6666,hedgedog,N.Masc.Anim,B2,LM,1,ёжики,Nom.Plur,На полке в детской стояли игрушечные ёжики.,On the shelf in the playroom there were toy hedgehogs.,_,животные/растения,,,
ель,6667,fir,N.Fem.Inan,B2,LM,1,ели,Gen.Sing,Около старой ели сидел чужой пёс.,An unfamiliar dog was sitting next to the old fir tree.,_,животные/растения,,,
ель,6668,fir,N.Fem.Inan,B2,LM,2,елей,Gen.Plur,Стоимость искусственных елей зависит от многих вещей.,The cost of artificial fir trees depends on many factors.,_,животные/растения,,,
ель,6669,fir,N.Fem.Inan,B2,LM,3,ель,Nom.Sing,"Смотри, какая красивая рождественская ель!","Look, what a beautiful Christmas tree!",_,животные/растения,,,
жадность,6670,greed,N.Fem.Inan,B2,LM,1,жадности,Gen.Sing,Он от жадности совсем с ума сошёл.,He went completely crazy with greed.,_,внутренний мир,,,
жадность,6671,greed,N.Fem.Inan,B2,LM,2,жадность,Nom.Sing,Жадность людей безгранична.,Human greed is limitless.,_,внутренний мир,,,
жадность,6672,greed,N.Fem.Inan,B2,LM,3,жадностью,Ins.Sing,Петя с жадностью ел мясо.,Petya greedily ate the meat.,_,внутренний мир,,,
жадный,6673,greedy,A,B2,LM,1,жадным,Ins.Neut.Sing,Ваня с жадным любопытством наблюдал за процессом.,Vanya watched the process with greedy curiosity.,_,внутренний мир,,,
жадный,6674,greedy,A,B2,LM,2,жадные,Nom.Plur,Жадные люди пойдут на всё ради денег.,Greedy people will do anything for money.,_,внутренний мир,,,
жадный,6675,greedy,A,B2,LM,3,жадного,Anim.Acc.Masc.Sing,Я никогда ещё не видел такого жадного человека.,I've never seen such a greedy person before.,_,внутренний мир,,,
забивать,6676,beat up,V,B2,LM,1,забивать,Imperf.Inf,"Петя, ты умеешь забивать гвозди?","Petya, do you know how to hammer in nails?",_,"жильё, свободное время",,,
забивать,6677,beat up,V,B2,LM,2,забивала,Imperf.Fem.Sing.Past,Я никогда не забивала гвозди.,I've never hammered in nails.,_,"жильё, свободное время",,,
забивать,6678,beat up,V,B2,LM,3,забивают,Imperf.Plur.3,В полуфинале немцы забивают решающий гол.,In the semifinals the Germans scored the decisive goal.,_,"жильё, свободное время",,,
забронировать,6679,reserve,V,B2,LM,1,забронировали,Perf.Plur.Past,"Мы забронировали жильё за месяц, чтобы получить скидку.",We've booked an apartment for a month in order to get a discount.,_,"жильё, путешествие, свободное время",,,
забронировать,6680,reserve,A,B2,LM,2,забронировано,Neut.Sing,"Саша пытался найти свободный номер, но всё уже было забронировано.","Sasha tried to find a free hotel room, but everything was already booked.",_,"жильё, путешествие, свободное время",,,
забронировать,6681,reserve,A,B2,LM,3,забронирован,Masc.Sing,У нас был забронирован столик на троих.,We had a reservation for a table for three.,_,"жильё, путешествие, свободное время",,,
жалость,6682,pity,N.Fem.Inan,B2,LM,1,жалость,Nom.Sing,Жалость к себе — неприятное чувство.,Self pity is an unpleasant feeling.,_,внутренний мир,,Corrected,
жалость,6683,pity,N.Fem.Inan,B2,LM,2,жалости,Gen.Sing,Я чуть не заплакал от жалости к себе.,I almost cried out of self pity.,_,внутренний мир,,,
жалость,6684,pity,N.Fem.Inan,B2,LM,3,жалостью,Ins.Sing,Маша посмотрела на меня с жалостью.,Masha looked at me with pity.,_,внутренний мир,,,
жара,6685,heat,N.Fem.Inan,B2,LM,1,жара,Nom.Sing,"Стояла жуткая жара, поэтому я решил искупаться в озере.","It was awfully hot, so I dediced to take a swim in the lake.",_,"погода, мера",,,
жара,6686,heat,N.Fem.Inan,B2,LM,2,жары,Gen.Sing,Из-за аномальной жары начали гореть леса.,The forests began to burn due to the abnormal heat.,_,"погода, мера",,,
жара,6687,heat,N.Fem.Inan,B2,LM,3,жару,Acc.Sing,В жару надо пить больше воды.,You need to drink more water in the heat.,_,"погода, мера",,,
жаргон,6688,jargon,N.Masc.Inan,B2,LM,1,жаргоне,Loc.Sing,"На жаргоне трудно говорить, если его не знаешь.",It's difficult to speak jargon if you don't know it.,_,общение,,,
жаркий,6689,hot,A,B2,"Golosa, LM",1,жарко,Adverb,"Здесь слишком жарко, откройте окно!","It's too hot in here, open the window!",_,"погода, мера",,,
жаркий,6690,hot,A,B2,"Golosa, LM",2,жаркое,Inan.Acc.Neut.Sing,Мы встретили это жаркое лето на берегу реки.,We experienced the beginning of this hot summer on the bank of the river.,_,"погода, мера",,,
