Target language lemma,ID,User language gloss,English gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Target language example sentence,User language translation,English translation,Reference,Topic(s),Lesson,
абсолютный,5096,absolute,,A,B2,LM,3,абсолютный,Nom.Masc.Sing,Абсолютный рекорд в спринте принадлежит Усейну Болту.,The absolute record in the sprint belongs to Usain Bolt.,,_,"описание, политика, мера",,,
абсурд,5097,absurd,,N.Masc.Inan,B2,LM,1,абсурда,Gen.Sing,Давайте не будем доводить ситуацию до абсурда!,Let's not make this situation ridiculous!,,_,"общение, политика, описание",,,
абсурд,5098,absurd,,N.Masc.Inan,B2,LM,2,абсурд,Nom.Sing,"Это не заявление, а какой-то абсурд!","This is not a statement, but some absurd nonsense!",,_,"общение, политика, описание",,,
абсурд,5099,absurd,,N.Masc.Inan,B2,LM,3,абсурду,Dat.Sing,"Это может привести судебный процесс к абсолютному абсурду, разве вы не понимаете?","This can lead the trial to absolute absurdity, don't you see?",,_,"общение, политика, описание",,,
абсурдный,5100,absurd,,A,B2,LM,1,абсурдными,Ins.Plur,"На первый взгляд, их заявления могут показаться абсурдными.","At first glance, their statements may seem absurd.",,_,"описание, общение, политика",,,
абсурдный,5101,absurd,,A,B2,LM,2,абсурдным,Ins.Masc.Sing,Приговор по этому делу показался мне абсолютно абсурдным: пять лет тюрьмы за твит?!,The sentence in this case seemed to me absolutely absurd: five years in prison for a tweet?!,,_,"описание, общение, политика",,,
абсурдный,5102,absurd,,A,B2,LM,3,абсурдной,Ins.Fem.Sing,"Ситуация может показаться абсурдной, но мы к ней уже привыкли.","The situation may seem absurd, but we are used to it already.",,_,"описание, общение, политика",,,
абхазец,5103,Abkhasian,,N.Masc.Anim,B2,LM,1,абхазцев,Gen.Plur,"Население Абхазии в основном состоит из абхазцев, грузин и русских.","The population of Abkhazia is mainly composed of Abkhazians, Georgians and Russians.",,_,"люди, политика",,,
абхазец,5104,Abkhasian,,N.Masc.Anim,B2,LM,2,абхазцы,Nom.Plur,"А мы, абхазцы, любим, когда тепло.",But we Abkhazians like it when it’s warm outside.,,_,"люди, политика",,,
абхазец,5105,Abkhasian,,N.Masc.Anim,B2,LM,3,абхазца,Acc.Sing,"После поворота мы увидели абхазца, продающего мандарины.","After taking a turn in the road, we saw an Abkhazian who was selling tangerines.",,_,"люди, политика",,,
авария,5106,accident,,N.Fem.Inan,B2,LM,1,аварии,Gen.Sing,В результате автомобильной аварии два человека погибли и один пострадал.,As a result of the car crash two people were killed and one was injured.,,_,"транспорт, учёба/работа",,,
авария,5107,accident,,N.Fem.Inan,B2,LM,2,авариях,Loc.Plur,За одни сутки в автомобильных авариях в России были ранены пятьсот четыре человека.,In a single day five hundred and four people were injured in car accidents in Russia .,,_,"транспорт, учёба/работа",,,
авария,5108,accident,,N.Fem.Inan,B2,LM,3,авариями,Ins.Plur,"Разлив нефти в Мексиканском заливе заставил компании задуматься, как бороться с подобными авариями в будущем.",The oil spill in the Gulf of Mexico has forced companies to think about how to deal with such accidents in the future.,,_,"транспорт, учёба/работа",,,
австралиец,5109,Australian,,N.Masc.Anim,B2,"LM, Поехали",1,австралийцем,Ins.Sing,"Её отец был австралийцем, а мать — американкой.",Her father was an Australian and her mother was an American.,,_,"люди, политика",,,
австралиец,5110,Australian,,N.Masc.Anim,B2,"LM, Поехали",2,австралийцами,Ins.Plur,На следующей неделе наша команда играет с австралийцами.,Next week our team is playing against the Australians.,,_,"люди, политика",,,
австралиец,5111,Australian,,N.Masc.Anim,B2,"LM, Поехали",3,австралиец,Nom.Sing,Режиссёром «Форсажа-7» стал австралиец Джеймс Ван.,"""Fast and Furious 7"" was directed by the Australian James Wang.",,_,"люди, политика",,,
австриец,5112,Austrian,,N.Masc.Anim,B2,LM,1,австрийца,Gen.Sing,Песенный дуэт состоял из русского и австрийца.,The singing duo consisted of a Russian and an Austrian.,,_,"люди, политика",,,
автобиография,5113,autobiography,,N.Fem.Inan,B2,"Golosa, LM, Кс",1,автобиография,Nom.Sing,В прошлом году наконец вышла долгожданная автобиография писателя.,Last year a long-awaited autobiography of the writer was finally published.,,_,"учёба/работа, внутренний мир",,,
автобиография,5114,autobiography,,N.Fem.Inan,B2,"Golosa, LM, Кс",2,автобиографии,Gen.Sing,"Из его автобиографии не было понятно, где он провёл пять лет своей жизни.",It wasn’t clear from his autobiography where he spent a certain five years of his life.,,_,"учёба/работа, внутренний мир",,,
интервью,5115,interview,,N.Neut.Inan,B2,"Golosa, MiP, LM",1,интервью,Loc.Sing,В последнем интервью звёздная пара заявила о скорой свадьбе.,"In their last interview, the star couple announced that their wedding will take place soon.",,_,"учёба/работа, внутренний мир, политика",,,
бюро,5116,bureau,,N.Neut.Inan,B2,"Golosa, MiP, LM",1,бюро,Gen.Sing,"Он готов подписать договор, но для этого требуется согласие бюро.","He is ready to sign the contract, but that requires the bureau's authorization.",,_,учёба/работа,,,
автономия,5117,autonomy,,N.Fem.Inan,B2,LM,1,автономии,Gen.Sing,Активисты пытались добиться автономии своей территории.,The activists tried to get autonomy for their territory.,,_,политика,,,
автономия,5118,autonomy,,N.Fem.Inan,B2,LM,2,автономию,Acc.Sing,Пятьдесят шесть процентов опрошенных вступило за автономию территории.,56% of the respondents supported the autonomy of the territory.,,_,политика,,,
автономный,5119,autonomous,,A,B2,LM,1,автономном,Loc.Masc.Sing,В автономном режиме телефон может не разряжаться до трёх суток.,In offline mode the phone can stay charged for up to three days.,,_,"описание, политика",,,
автономный,5120,autonomous,,A,B2,LM,2,автономного,Gen.Neut.Sing,В статье говорилось о возможности автономного развития этих двух сообществ.,The article was about the possibility of autonomous development of these two communities.,,_,"описание, политика",,,
автономный,5121,autonomous,,A,B2,LM,3,автономная,Nom.Fem.Sing,Сильнее всего от наводнения пострадала Еврейская автономная область и Хабаровский край.,The Jewish Autonomous region and Khabarovsk region suffered the most from the flood.,,_,"описание, политика",,,
автоответчик,5122,answering machine,,N.Masc.Inan,B2,"Golosa, LM",1,автоответчик,Nom.Sing,Никто не отвечал и через двадцать секунд включился автоответчик.,"Nobody answered, and twenty seconds later the answering machine turned on.",,_,"учёба/работа, общение",,,
авторитет,5123,authority,,N.Masc.Inan,B2,LM,1,авторитет,Acc.Sing,Он отчаянно пытался завоевать у своих учеников авторитет.,He desperately tried to win the respect of his students.,,_,"люди, внутренний мир",,,
авторитет,5124,authority,,N.Masc.Inan,B2,LM,2,авторитетом,Ins.Sing,Среди горожан такие люди пользуются авторитетом.,Such people enjoy the respect of the city's inhabitants.,,_,"люди, внутренний мир",,,
авторитет,5125,authority,,N.Masc.Inan,B2,LM,3,авторитетами,Ins.Plur,"В мире очень мало людей, которые действительно являются для меня авторитетами.",There are very few people in the world whose opinion is really important to me.,,_,"люди, внутренний мир",,,
агент,5126,agent,,N.Masc.Anim,B2,LM,1,агент,Nom.Sing,"Они всё чаще стали думать, что Джеймс — агент ФБР.",They started to suspect more and more that James was an FBI agent.,,_,"люди, учёба/работа, политика",,,
агент,5127,agent,,N.Masc.Inan,B2,LM,2,агентов,Gen.Plur,Как проходит подготовка агентов КГБ?,What does the training of KGB agents look like?,,_,"люди, учёба/работа, политика",,,
агент,5128,agent,,N.Masc.Anim,B2,LM,3,агентами,Ins.Plur,В реальности их союзники оказались агентами спецслужб.,"In reality, their allies turned out to be intelligence service agents.",,_,"люди, учёба/работа, политика",,,
агентство,5129,agency,,N.Neut.Inan,B2,LM,1,агентства,Gen.Sing,На вопрос агентства Интерфакс президент не ответил.,The President did not answer the question from the Interfax news agency.,,_,"учёба/работа, общение",,,
агентство,5130,agency,,N.Neut.Inan,B2,LM,2,агентство,Nom.Sing,Новость распространило агентство Reuters.,The news was spread by the Reuters agency.,,_,"учёба/работа, общение",,,
агентство,5131,agency,,N.Neut.Inan,B2,LM,3,агентством,Ins.Sing,"Мама сказала, что мы заключим контракт с модельным агентством, когда мне исполнится четырнадцать лет.",My mother told me we'll sign a contract with a modeling agency when I turn fourteen.,,_,"учёба/работа, общение",,,
агрессивный,5132,aggressive,,A,B2,LM,1,агрессивный,Nom.Masc.Sing,"Агрессивный маркетинг только отпугнёт новых клиентов, а не привлечёт их.","An aggressive marketing campaign will only scare new clients, not attract them.",,_,"описание, внутренний мир, общение",,,
агрессивный,5133,aggressive,,A,B2,LM,2,агрессивной,Gen.Fem.Sing,Пять лет агрессивной политики привели страну к кризису.,Five years of aggressive policy have brought the country to a crisis.,,_,"описание, внутренний мир, общение",,,
агрессивный,5134,aggressive,,A,B2,LM,3,агрессивными,Ins.Plur,К концу собрания участники становились всё более агрессивными.,By the end of the meeting the participants were becoming more and more aggressive.,,_,"описание, внутренний мир, общение",,,
ад,5135,hell,,N.Masc.Inan,B2,LM,1,ада,Gen.Sing,"Не буду описывать, какие круги ада мы прошли, чтобы получить эти документы.",I won't describe what circles of hell we passed through in order to obtain these documents.,,_,внутренний мир,,,
ад,5136,hell,,N.Masc.Inan,B2,LM,2,ад,Acc.Sing,Соседи превратили нашу жизнь в ад.,Our neighbors turned our life into a living hell.,,_,внутренний мир,,,
ад,5137,hell,,N.Masc.Inan,B2,LM,3,аду,Loc.Sing,Но и в этом кромешном аду войны люди все же сохраняли ясность ума и спокойствие.,But even in the hell of war people remained clear-headed and calm.,,_,внутренний мир,,,
адаптироваться,5138,adapt,,V,B2,LM,1,адаптироваться,Biasp.Inf,Такие игры должны помочь детям адаптироваться в детском саду.,Such games should help children adapt in kindergarten.,,_,"люди, учёба/работа",,,
адаптироваться,5139,adapt,,V,B2,LM,2,адаптируются,Biasp.Plur.3,"Анализ ДНК показывает, как гены человека адаптируются к изменениям питания, климата, к болезням.",DNA analysis shows how human genes adapt to changes in diet and climate and to diseases.,,_,"люди, учёба/работа",,,
адаптироваться,5140,adapt,,V,B2,LM,3,адаптировались,Biasp.Plur.Past,Мы только недавно переехали в Германию и ещё не адаптировались к немецкой жизни.,We have only recently moved to Germany and have not yet adapted to German way of life.,,_,"люди, учёба/работа",,,
адвокат,5141,attorney,,N.Masc.Anim,B2,LM,1,адвокат,Nom.Sing,Защищать Устинова будет лучший адвокат города.,Ustinov will be defended by the best lawyer in the city.,,_,"люди, учёба/работа",,,
адвокат,5142,attorney,,N.Masc.Anim,B2,LM,2,адвокаты,Nom.Plur,Наши адвокаты подадут апелляцию на приговор суда.,Our lawyers will appeal the verdict.,,_,"люди, учёба/работа",,,
адвокат,5143,attorney,,N.Masc.Anim,B2,LM,3,адвокатов,Gen.Plur,Миша был из семьи адвокатов.,Misha was from a family of lawyers.,,_,"люди, учёба/работа",,,
адекватный,5144,adequate,,A,B2,LM,1,адекватная,Nom.Fem.Sing,"Не могу сказать, что это была адекватная реакция на то, что случилось.",I can't say that it was an appropriate reaction to what happened.,,_,"описание, внутренний мир, мера",,,
адекватный,5145,adequate,,A,B2,LM,2,адекватных,Gen.Plur,Мы пока не слышали от них адекватных ответов.,We have not gotten adequate answers from them yet.,,_,"описание, внутренний мир, мера",,,
адекватный,5146,adequate,,A,B2,LM,3,адекватным,Ins.Neut.Sing,Его поведение не показалось Соне адекватным.,His behavior did not seem adequate to Sonya.,,_,"описание, внутренний мир, мера",,,
административный,5147,administrative,,A,B2,LM,1,административной,Gen.Fem.Sing,До административной реформы этими функциями занималось Министерство финансов.,"Before the administrative reform, these functions were carried out by the Ministry of Finance.",,_,"описание, политика, учёба/работа",,,
административный,5148,administrative,,A,B2,LM,2,административных,Gen.Plur,Число административных барьеров для бизнеса всё увеличивается.,The number of administrative barriers for business is increasing.,,_,"описание, политика, учёба/работа",,,
административный,5149,administrative,,A,B2,LM,3,административного,Gen.Masc.Sing,Суд назначил Степану наказание в виде административного ареста.,The court proclaimed Stepan guilty and punished him with administrative arrest.,,_,"описание, политика, учёба/работа",,,
администратор,5150,administrator,,N.Masc.Anim,B2,"MiP, LM, МН",1,администратору,Dat.Sing,"Если вы хотите заказать завтрак в номер, сообщите об этом администратору вечером.","If you wish to have breakfast in your room, please inform the receptionist in the evening.",,_,"люди, учёба/работа, политика",,,
администратор,5151,administrator,,N.Masc.Anim,B2,"MiP, LM, МН",2,администратор,Nom.Sing,Прямо у входа в салон красоты нас встретил администратор.,Right at the entrance to the beauty salon we were met by the receptionist.,,_,"люди, учёба/работа, политика",,,
азартный,5152,gambling,,A,B2,LM,1,азартные,Nom.Plur,Азартные игры запрещены для детей.,Gambling is prohibited for children.,,_,"люди, внутренний мир, свободное время",,,
азартный,5153,gambling,,A,B2,LM,2,азартную,Acc.Fem.Sing,"Нам казино не нужны, потому что вся наша жизнь уже похожа на азартную игру.",We don't need casinos because our whole life is already like a gambling game.,,_,"люди, внутренний мир, свободное время",,,
азартный,5154,gambling,,A,B2,LM,3,азартному,Dat.Masc.Sing,Такая профессия очень подходила к её азартному характеру.,That profession was well suited to her gambling personality.,,_,"люди, внутренний мир, свободное время",,,
академик,5155,member of the academy,,N.Masc.Anim,B2,LM,1,академик,Nom.Sing,"Тут академик вдруг понял, что был неправ.",And suddenly the member of the academy realized that he was wrong.,,_,"люди, учёба/работа",,,
академик,5156,member of the academy,,N.Masc.Anim,B2,LM,2,академика,Gen.Sing,На лекцию академика пришло больше ста человек.,More than a hundred people came to the lecture by a member of the academy.,,_,"люди, учёба/работа",,,
академик,5157,member of the academy,,N.Masc.Anim,B2,LM,3,академиком,Ins.Sing,"Он очень изменился с тех пор, как стал академиком.",He has changed a lot since he became a member of the academy.,,_,"люди, учёба/работа",,,
акварель,5158,watercolors,,N.Fem.Inan,B2,LM,1,акварелью,Ins.Sing,Катя хотела научиться рисовать акварелью.,Katya wanted to learn how to paint with watercolors.,,_,свободное время,,,
аккуратный,5159,neat,,A,B2,"LM, МН",1,аккуратным,Ins.Masc.Sing,Все письма были написаны аккуратным почерком.,All the letters were written in a neat handwriting.,,_,"люди, внутренний мир",,,
аккуратный,5160,neat,,A,B2,"LM, МН",2,поаккуратнее,Comparative,"Поаккуратнее с этими коробками, пожалуйста: в них стекло!","Be careful with these boxes, please: there’s glass inside!",,_,"люди, внутренний мир",,,
аккуратный,5161,neat,,A,B2,"LM, МН",3,аккуратные,Acc.Plur,"Когда пирог немного остынет, разрежьте его на аккуратные кусочки.","When the cake gets a little cooler, cut it into neat pieces.",,_,"люди, внутренний мир",,,
акт,5162,act,,N.Masc.Inan,B2,LM,1,акт,Nom.Sing,"Честно говоря, первый акт балета мне совсем не понравился.","To be honest, I did not like the first act of the ballet at all.",,_,свободное время,,,
акт,5163,act,,N.Masc.Inan,B2,LM,2,акта,Gen.Sing,Мы ушли из театра после второго акта.,We left the theater after the second act.,,_,свободное время,,,
акт,5164,act,,N.Masc.Inan,B2,LM,3,актов,Gen.Plur,Из трёх актов спектакля мне понравился последний.,I only liked the third and last act of the play.,,_,свободное время,,,
актёр,5165,actor,,N.Masc.Anim,B2,LM,1,актёр,Nom.Sing,"Он хороший актёр, но очень плохой человек.",He’s a good actor but a very bad person.,,_,"люди, учёба/работа, свободное время",,,
актёр,5166,actor,,N.Masc.Anim,B2,LM,2,актёры,Nom.Plur,В одной гостинице с нами жили актёры какого-то театра.,Actors from some theater were staying at the same hotel as we were.,,_,"люди, учёба/работа, свободное время",,,
актёр,5167,actor,,N.Masc.Anim,B2,LM,3,актёров,Gen.Plur,Особенно в фильме мне понравилась игра актёров.,What I liked the most in the movie was the acting.,,_,"люди, учёба/работа, свободное время",,,
актив,5168,asset,,N.Masc.Inan,B2,LM,1,активов,Gen.Plur,Стоимость всех его активов — более трёх миллионов долларов.,The value of all his assets is more than three million dollars.,,_,"учёба/работа, магазин",,,
актив,5169,asset,,N.Masc.Inan,B2,LM,2,активы,Nom.Plur,Нефинансовые активы его не интересовали.,He wasn't interested in nonfinancial assets.,,_,"учёба/работа, магазин",,,
актив,5170,asset,,N.Masc.Inan,B2,LM,3,активами,Ins.Plur,Владимир не умел самостоятельно управлять своими активами.,Vladimir was not able to manage his assets by himself.,,_,"учёба/работа, магазин",,,
актриса,5171,actress,,N.Fem.Anim,B2,LM,1,актриса,Nom.Sing,В интервью нашему телеканалу актриса объявила о новом спектакле.,The actress announced a new play in an interview with our TV channel.,,_,"люди, учёба/работа, свободное время",,,
актриса,5172,actress,,N.Fem.Anim,B2,LM,2,актрису,Acc.Sing,В детстве он был влюблён в эту актрису.,He was in love with this actress when he was a child.,,_,"люди, учёба/работа, свободное время",,,
актриса,5173,actress,,N.Fem.Anim,B2,LM,3,актрисы,Gen.Sing,"Олю не радовало, что из актрисы она превратилась в домохозяйку.",Olya was not happy that she had gone from being an actress to being a housewife.,,_,"люди, учёба/работа, свободное время",,,
актуальный,5174,actual,,A,B2,LM,1,актуальна,Fem.Sing,Такая длина юбки в новом сезоне всё ещё актуальна.,This skirt length is still trendy in the new season.,,_,"описание, политика",,,
актуальный,5175,actual,,A,B2,LM,2,актуально,Neut.Sing,Актуально ли расписание тренировок на сайте?,Is the training schedule on the website up to date?,,_,"описание, политика",,,
актуальный,5176,actual,,A,B2,LM,3,актуальных,Gen.Plur,Студенты задали ректору около пятидесяти актуальных вопросов.,The students asked the principal around fifty relevant questions.,,_,"описание, политика",,,
акцент,5177,accent,,N.Masc.Inan,B2,LM,1,акцент,Acc.Sing,Основной акцент в нашем курсе английского мы делаем на говорении.,The main emphasis in our English course is on speaking.,,_,"люди, общение",,,
акцент,5178,accent,,N.Masc.Inan,B2,LM,2,акцентом,Ins.Sing,"Мужчина говорил с сильным акцентом, но я всё понял.",The man had a strong accent but I understood everything nevertheless.,,_,"люди, общение",,,
акцент,5179,accent,,N.Masc.Inan,B2,LM,3,акцента,Gen.Sing,На арабском Миша говорил совсем без акцента!,Misha spoke Arabic without an accent!,,_,"люди, общение",,,
акционерный,5180,stock,,A,B2,LM,1,акционерных,Gen.Plur,Дмитрий купил акции пяти акционерных обществ.,Dmitry bought stocks from five joint-stock companies.,,_,"описание, магазин",,,
акционерный,5181,stock,,A,B2,LM,2,акционерное,Inan.Acc.Neut.Sing,Их компанию в прошлом году превратили в акционерное общество.,Their company was turned into a joint-stock company last year.,,_,"описание, магазин",,,
акционерный,5182,stock,,A,B2,LM,3,акционерного,Gen.Neut.Sing,Это против правил нашего акционерного общества.,That's against the rules of our joint-stock company.,,_,"описание, магазин",,,
акция,5183,stock,,N.Fem.Inan,B2,LM,1,акций,Gen.Plur,Инна — владелец пяти процентов акций новой компании.,Inna is the owner of five percent of the shares of the new company.,,_,магазин,,,
акция,5184,stock,,N.Fem.Inan,B2,LM,2,акция,Nom.Sing,Только сегодня в нашем магазине акция: две вещи по цене одной!,For today only we are having a sale in our store: two items for the price of one!,,_,магазин,,,
акция,5185,stock,,N.Fem.Inan,B2,LM,3,акции,Nom.Plur,Сколько сейчас стоят акции Аэрофлота?,How much are Aeroflot stocks worth now?,,_,магазин,,,
албанец,5186,Albanian,,N.Masc.Anim,B2,LM,1,албанцами,Ins.Plur,В хостеле мы познакомились с симпатичными албанцами.,In the hostel we met some nice Albanians.,,_,"люди, политика",,,
албанец,5187,Albanian,,N.Masc.Anim,B2,LM,2,албанцы,Nom.Plur,Албанцы выиграли у французской команды со счётом три : два.,The Albanians won against the French team with a score of 3 to 2.,,_,"люди, политика",,,
албанец,5188,Albanian,,N.Masc.Anim,B2,LM,3,албанцев,Gen.Plur,В путешествии по Балканам я встретила много албанцев.,I met a lot of Albanians during my trip to the Balkans.,,_,"люди, политика",,,
алкоголь,5189,alcohol,,N.Masc.Inan,B2,LM,1,алкоголя,Gen.Sing,"Чтобы лучше засыпать, откажитесь от алкоголя, примите тёплую ванну и почитайте книгу.","In order to fall asleep better, refrain from alcohol, take a warm bath, and read a book.",,_,"еда, здоровье",,,
алкоголь,5190,alcohol,,N.Masc.Inan,B2,LM,2,алкоголь,Acc.Sing,В России не продают алкоголь ночью.,Alcohol is not sold at night in Russia.,,_,"еда, здоровье",,,
алкоголь,5191,alcohol,,N.Masc.Inan,B2,LM,3,алкоголю,Dat.Sing,"Он был абсолютно равнодушен и к алкоголю, и к табаку.",He was completely indifferent to both alcohol and tobacco.,,_,"еда, здоровье",,,
аллергия,5192,allergy,,N.Fem.Inan,B2,"Golosa, LM, Поехали",1,аллергии,Gen.Sing,Из-за сильной аллергии Егор не мог завести дома собаку.,Due to a severe allergy Egor could not have a dog at home.,,_,"еда, здоровье",,,
аллергия,5193,allergy,,N.Fem.Inan,B2,"Golosa, LM, Поехали",2,аллергия,Nom.Sing,У меня аллергия на мёд.,I’m allergic to honey.,,_,"еда, здоровье",,,
аллергия,5194,allergy,,N.Fem.Inan,B2,"Golosa, LM, Поехали",3,аллергией,Ins.Sing,Весной особенно сложно людям с аллергией на пыльцу.,Spring is especially difficult for people who are allergic to pollen.,,_,"еда, здоровье",,,
аллея,5195,avenue,,N.Fem.Inan,B2,LM,1,аллеях,Loc.Plur,На аллеях рядом с домом уже зацвела сирень.,Lilacs were already blooming along the avenues near the house.,,_,свободное время,,,
аллея,5196,avenue,,N.Fem.Inan,B2,LM,2,аллеями,Ins.Plur,В конце девятнадцатого века здесь открыли парк с аллеями и фонтанами.,At the end of the nineteenth century a park with paths and fountains was opened here.,,_,свободное время,,,
аллея,5197,avenue,,N.Fem.Inan,B2,LM,3,аллеям,Dat.Plur,В кино мы опоздали и до ночи гуляли по аллеям.,We were late for the cinema and walked along the avenues until nightfall.,,_,свободное время,,,
альпинист,5198,mountain climber,,N.Masc.Anim,B2,LM,1,альпинисты,Nom.Plur,Альпинисты считают Полярный Урал очень сложным маршрутом.,Mountain climbers consider the Polar Urals a very difficult route.,,_,"люди, учёба/работа, свободное время",,,
альпинист,5199,mountain climber,,N.Masc.Anim,B2,LM,2,альпиниста,Acc.Sing,"В горах они увидели альпиниста, возвращавшегося домой.",In the mountains they saw a mountain climber on his way home.,,_,"люди, учёба/работа, свободное время",,,
альпинист,5200,mountain climber,,N.Masc.Anim,B2,LM,3,альпинистами,Ins.Plur,"Лилия провела интервью с альпинистами, покорившими Эверест.",Lilia conducted an interview with the mountain climbers who conquered Everest.,,_,"люди, учёба/работа, свободное время",,,
ананас,5201,pineapple,,N.Masc.Inan,B2,LM,1,ананасы,Acc.Plur,Обычно мы покупали ананасы только на Новый год.,We usually bought pineapples only for the New Year’s Eve.,,_,"животные/растения, магазин, еда",,,
ананас,5202,pineapple,,N.Masc.Inan,B2,LM,2,ананас,Acc.Sing,"Пожалуйста, порежь ананас!","Please, cut the pineapple!",,_,"животные/растения, магазин, еда",,,
ананас,5203,pineapple,,N.Masc.Inan,B2,LM,3,ананасов,Gen.Plur,"Игорь верил, что от ананасов можно похудеть.",Igor believed that pineapples can help one lose weight.,,_,"животные/растения, магазин, еда",,,
анатомия,5204,anatomy,,N.Fem.Inan,B2,LM,1,анатомию,Acc.Sing,На первом курсе университета мы изучали анатомию.,We studied anatomy in the first year at the university.,,_,"люди, здоровье",,,
анатомия,5205,anatomy,,N.Fem.Inan,B2,LM,2,анатомии,Gen.Sing,Сложно учить физиологию без знания анатомии.,It's hard to study physiology without knowing anatomy.,,_,"люди, здоровье",,,
ангел,5206,angel,,N.Masc.Anim,B2,LM,1,ангелы,Nom.Plur,"Если есть демоны, значит, есть и ангелы, ― подумал Глеб.","If there are demons, then there must be angels, too, — Gleb thought.",,_,"внутренний мир, люди",,,
ангел,5207,angel,,N.Masc.Anim,B2,LM,2,ангел,Nom.Sing,Он был как ангел — со светлыми кудрявыми волосами и с милым личиком.,He was like an angel with curly blond hair and a cute face.,,_,"внутренний мир, люди",,,
ангел,5208,angel,,N.Masc.Anim,B2,LM,3,ангелом,Ins.Sing,В детстве Андрюша был абсолютным ангелом — очень послушным и добрым мальчиком.,As a child Andryusha was like an angel — a very obedient and kind little boy.,,_,"внутренний мир, люди",,,
анекдот,5209,joke,,N.Masc.Inan,B2,LM,1,анекдот,Nom.Sing,Какой твой любимый анекдот?,What’s your favorite joke?,,_,"общение, свободное время",,,
анекдот,5210,joke,,N.Masc.Inan,B2,LM,2,анекдоты,Nom.Plur,"В общем, атмосфера получилась почти семейная: звучали шутки, стихи, анекдоты.","In general, we had almost family atmosphere: there were jokes, poems, anecdotes.",,_,"общение, свободное время",,,
анекдот,5211,joke,,N.Masc.Inan,B2,LM,3,анекдотов,Gen.Plur,Влад знал много смешных анекдотов.,Vlad knew a lot of funny jokes.,,_,"общение, свободное время",,,
антибиотик,5212,antibiotic,,N.Masc.Inan,B2,"Golosa, LM",1,антибиотиков,Gen.Plur,"Врачи считают, что свободная продажа антибиотиков должна быть ограничена.",Doctors believe that the sale of antibiotics should be controlled.,,_,здоровье,,,
антибиотик,5213,antibiotic,,N.Masc.Inan,B2,"Golosa, LM",2,антибиотикам,Dat.Plur,Устойчивость бактерий к антибиотикам ― одна из серьёзнейших проблем современной медицины.,The resistance of bacteria to antibiotics is one of the most serious problems facing modern medicine.,,_,здоровье,,,
